Thread ID: 2148303280
Total: 0.067370

 %self     total     self     wait    child    calls  name
  0.03      0.00     0.00     0.00     0.00        8  Array#pop (ruby_runtime:0}
  0.02      0.00     0.00     0.00     0.00        4  ASMetaModel::Attribute::ClassModule#_registerContext ((eval):16}
  0.02      0.00     0.00     0.00     0.00        2  ASMetaModel::Triggerable::ClassModule#getWatchers ((eval):2}
  0.02      0.07     0.00     0.00     0.07        1  Kernel#instance_eval (ruby_runtime:0}
  0.01      0.00     0.00     0.00     0.00        2  ASMetaModel::Form::ClassModule#_registerView ((eval):16}
  0.01      0.00     0.00     0.00     0.00        2  ASMetaModel::View::ClassModule#_registerApp ((eval):16}
  0.01      0.00     0.00     0.00     0.00        2  ASMetaModel::Cmd::ClassModule#_registerApp ((eval):16}
  0.01      0.00     0.00     0.00     0.00        2  FlexGen::ECore::EPackage::ClassModule#eSuperPackage ((eval):2}
  0.01      0.00     0.00     0.00     0.00        2  ASMetaModel::Actor::ClassModule#_registerApp ((eval):16}
  0.01      0.00     0.00     0.00     0.00        2  ASMetaModel::Button::ClassModule#_registerForm ((eval):16}
  0.01      0.00     0.00     0.00     0.00        1  FlexGen::ModelBuilder::BuilderContext::ExtensionContainerFactory::ExtensionContainer#initialize (/opt/local/lib/ruby/gems/1.8/gems/flexgen-0.0.1/lib/flexgen/model_builder/builder_context.rb:101}
  0.01      0.00     0.00     0.00     0.00        1  String#split (ruby_runtime:0}
  0.01      0.00     0.00     0.00     0.00        1  ASMetaModel::Val::ClassModule#_registerContext ((eval):16}
  0.01      0.00     0.00     0.00     0.00        1  ASMetaModel::Val::ClassModule#_registerForm ((eval):16}
  0.01      0.00     0.00     0.00     0.00        1  String#index (ruby_runtime:0}
  0.01      0.00     0.00     0.00     0.00        1  ASMetaModel::Grid::ClassModule#_registerView ((eval):16}
  0.01      0.00     0.00     0.00     0.00        1  ASMetaModel::Sig::ClassModule#actor= (../metamodel/as_ext.rb:227}


